,train_acc,test_acc
0,0.71982,0.8788
1,0.90068,0.9264
2,0.92818,0.9387
3,0.94006,0.948
4,0.94874,0.9524
5,0.95398,0.9546
6,0.95788,0.9608
7,0.96092,0.962
8,0.96302,0.9639
9,0.96624,0.9672
10,0.96786,0.9608
11,0.9702,0.9693
12,0.97076,0.9642
13,0.97136,0.968
14,0.9745,0.9704
15,0.974,0.9705
16,0.97616,0.972
17,0.9772,0.9711
18,0.97738,0.973
19,0.97806,0.9754
20,0.97972,0.9759
21,0.97952,0.9752
22,0.97998,0.9701
23,0.98164,0.9727
24,0.98014,0.977
25,0.98132,0.978
26,0.98196,0.9768
27,0.98282,0.9751
28,0.98252,0.9777
29,0.98364,0.9763
30,0.98342,0.9779
31,0.98374,0.9771
32,0.98424,0.9793
33,0.98372,0.9773
34,0.98402,0.9765
35,0.98504,0.9787
36,0.98432,0.9778
37,0.98514,0.9776
38,0.985,0.9783
39,0.98532,0.9803
40,0.98592,0.9777
41,0.98618,0.9762
42,0.98672,0.9798
43,0.98638,0.9797
44,0.98682,0.9788
45,0.9865,0.9799
46,0.98708,0.9775
47,0.98708,0.9789
48,0.9869,0.9784
49,0.98754,0.9798
50,0.98936,0.9826
51,0.99064,0.9827
52,0.99038,0.9827
53,0.99118,0.9833
54,0.99018,0.9838
55,0.99082,0.9832
56,0.99104,0.9825
57,0.99118,0.9825
58,0.99064,0.9839
59,0.99076,0.984
60,0.9905,0.9832
61,0.9911,0.9836
62,0.99106,0.9809
63,0.99114,0.9826
64,0.99112,0.9824
65,0.9915,0.9833
66,0.99082,0.9837
67,0.99252,0.9836
68,0.99124,0.9841
69,0.99182,0.9852
70,0.99218,0.9837
71,0.99154,0.9838
72,0.99122,0.9858
73,0.99196,0.9837
74,0.99162,0.9833
75,0.99094,0.9854
76,0.99168,0.9852
77,0.99192,0.9842
78,0.99228,0.9844
79,0.9918,0.9849
80,0.99152,0.9854
81,0.99206,0.9837
82,0.9917,0.9846
83,0.9921,0.9851
84,0.99122,0.9844
85,0.99194,0.9839
86,0.99178,0.9849
87,0.99162,0.9851
88,0.9915,0.9846
89,0.99184,0.9841
90,0.99218,0.9849
91,0.99164,0.9848
92,0.99182,0.9852
93,0.99174,0.9832
94,0.9922,0.9835
95,0.9916,0.985
96,0.99202,0.9846
97,0.99242,0.9845
98,0.99246,0.9837
99,0.99228,0.9828
